Nº	Posic.	Long.	Tipo	Descripción	Validación	Contenido	X	Y	FORMULA	
"1"	"1"	"2"	"An"	"Inicio del identificador de modelo y página"	"Obligatorio"	"Constante <T"	"832"	"45"	""	
"2"	"3"	"3"	"Num"	"Modelo"	"Obligatorio"	"Constante 202"	"852"	"45"	""	
"3"	"6"	"2"	"Num"	"Página"	"Obligatorio"	"Constante 01"	"887"	"44"	""	
"4"	"8"	"1"	"A"	"Fin de identificador de modelo"	"Obligatorio"	"Constante >"	"912"	"44"	""	
"5"	"9"	"1"	"An"	"Reservado para la Administració"	"Obligatorio"	""	"939"	"44"	""	
"6"	"10"	"1"	"An"	"Tipo de declaracion,  I Ingreso, U Domiciliación en  cuenta, G Ingreso cuenta corriente tributaria"	"I o G o U o N"	""	"914"	"354"	""	
"7"	"11"	"9"	"An"	"Obligado tributario (1) Sujeto pasivo NIF"	"Obligatorio"	""	"193"	"447"	""	
"8"	"20"	"40"	"An"	"Obligado tributario (1) Sujeto pasivo Denominación (o Apellidos y nombre)"	""	""	"351"	"449"	""	
"9"	"60"	"4"	"Num"	"Devengo (2) Ejercicio"	"Obligatorio"	""	"765"	"248"	""	
"10"	"64"	"2"	"An"	"Devengo (2) Periodo"	"Obligatorio"	"1P, 2P o 3P"	"950"	"249"	""	
"11"	"66"	"8"	"Num"	"Devengo (2) Fecha de inicio del periodo impositivo"	"ddmmaaaa"	""	"868"	"311"	""	
"12"	"74"	"1"	"An"	"Gran Empresa, X o blanco"	"X o blanco"	""	"939"	"446"	""	
"13"	"75"	"17"	"N"	"Base pago fraccionado (01)"	"euros"	""	"799"	"546"	""	
"14"	"92"	"17"	"N"	"Resultado dec anterior complementaria (02)"	"euros"	""	"799"	"566"	""	
"15"	"109"	"17"	"N"	"A ingresar (03)"	"euros"	""	"799"	"589"	""	
"16"	"126"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Resultado de la cuenta de pérdidas y ganancias antes del IS [04]"	"euros"	""	"800"	"654"	""	
"17"	"143"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Correcciones al resultado de la cuenta de pérdidas y ganancias [05]"	"euros"	""	"799"	"673"	""	
