Nº	Posic.	Long.	Tipo	Descripción	Validación	Contenido	X	Y	FORMULA	
"1"	"1"	"3"	"Num"	"Modelo"	"Obligatorio"	"Constante 202"	""	""	""	
"2"	"4"	"2"	"Num"	"Página"	"Obligatorio"	"Constante 01"	""	""	""	
"3"	"6"	"1"	"A"	"Indicador de página complementaria"	"En blanco"	""	""	""	""	
"4"	"7"	"1"	"A"	"Tipo de declaracion,  I Ingreso, U Domiciliación en  cuenta, G Ingreso cuenta corriente tributaria"	"I o G o U"	""	"566"	"154"	""	
"5"	"8"	"5"	"Num"	"Administracion"	"Obligatorio"	""	"316"	"143"	""	
"6"	"13"	"9"	"An"	"NIF"	"Obligatorio"	""	"107"	"301"	""	
"7"	"22"	"4"	"An"	"Comienzo 1º apellido, 4 letras"	""	""	"199"	"255"	""	
"8"	"26"	"30"	"An"	"Apellidos"	""	""	"372"	"305"	""	
"9"	"56"	"15"	"A"	"Nombre"	""	""	"701"	"305"	""	
"10"	"71"	"2"	"An"	"Via"	""	""	"151"	"340"	""	
"11"	"73"	"17"	"An"	"Nombre via"	""	""	"180"	"340"	""	
"12"	"90"	"4"	"An"	"Numero"	""	""	"443"	"342"	""	
"13"	"94"	"2"	"An"	"Escalera"	""	""	"498"	"342"	""	
"14"	"96"	"2"	"An"	"Piso"	""	""	"535"	"340"	""	
"15"	"98"	"2"	"An"	"Puerta"	""	""	"570"	"339"	""	
"16"	"100"	"9"	"An"	"Telefono"	""	""	"604"	"340"	""	
"17"	"109"	"20"	"A"	"Municipio"	""	""	"117"	"364"	""	
"18"	"129"	"15"	"A"	"Provincia"	""	""	"419"	"373"	""	
"19"	"144"	"5"	"An"	"CP"	""	""	"642"	"371"	""	
"20"	"149"	"4"	"Num"	"Ejercicio"	"Obligatorio"	""	"534"	"195"	""	
"21"	"153"	"2"	"An"	"Periodo, 1P, 2P o 3P"	"Obligatorio"	""	"648"	"194"	""	
"22"	"155"	"13"	"N"	"Base pago fraccionado (01)"	"euros"	""	"554"	"423"	""	
"23"	"168"	"13"	"N"	"Resultado dec anterior complementaria (02)"	"euros"	""	"555"	"447"	""	
"24"	"181"	"13"	"N"	"A ingresar (03)"	"euros"	""	"556"	"470"	""	
"25"	"194"	"13"	"N"	"Base del pago fraccionado (04)"	"euros"	""	"554"	"497"	""	
"26"	"207"	"4"	"N"	"Porcentaje (05)"	"euros"	""	"703"	"518"	""	
"27"	"211"	"13"	"N"	"Resultado (06)"	"euros"	""	"556"	"533"	"C25*C26/100"	
"28"	"224"	"13"	"N"	"Base del pago fraccionado (07)"	"euros"	""	"239"	"567"	""	
"29"	"237"	"13"	"N"	"Base del pago fraccionado, hasta ()"	"euros"	""	"239"	"592"	""	
"30"	"250"	"13"	"N"	"Importe del pago fraccionado (08)"	"euros"	""	"555"	"576"	""	
